Flow ID,Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Application Protocol,Time_Delta,Totlen Pkts,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Tot Pkts,Payload
192.168.230.4-223.130.200.97-48894-443-6,2022/01/21 07:15:31,192.168.230.4,223.130.200.97,48894,443,TCP,HTTPS,118359577,2012.0,12,12,1296.0,716.0,24,No payload found for the flow
192.168.230.4-223.130.200.97-48898-443-6,2022/01/21 07:15:31,192.168.230.4,223.130.200.97,48898,443,TCP,HTTPS,809089,1272.0,7,5,956.0,316.0,12,No payload found for the flow
192.168.230.4-211.216.46.13-46662-443-6,2022/01/21 07:15:31,192.168.230.4,211.216.46.13,46662,443,TCP,HTTPS,34,24.0,1,1,0.0,24.0,2,No payload found for the flow
192.168.230.4-203.104.164.27-52602-443-6,2022/01/21 07:15:32,192.168.230.4,203.104.164.27,52602,443,TCP,HTTPS,5503330,7855.0,12,12,3610.0,4245.0,24,No payload found for the flow
192.168.230.4-23.47.208.206-39082-443-6,2022/01/21 07:15:32,192.168.230.4,23.47.208.206,39082,443,TCP,HTTPS,20027191,151162.0,59,116,1197.0,149965.0,175,No payload found for the flow
192.168.230.4-203.104.164.27-52604-443-6,2022/01/21 07:15:32,192.168.230.4,203.104.164.27,52604,443,TCP,HTTPS,4409620,5143.0,9,11,2545.0,2598.0,20,No payload found for the flow
192.168.230.4-223.130.200.97-48898-443-6,2022/01/21 07:15:32,223.130.200.97,192.168.230.4,443,48898,TCP,HTTPS,267998,31.0,1,2,0.0,31.0,3,No payload found for the flow
192.168.230.4-203.104.164.27-52600-443-6,2022/01/21 07:15:32,192.168.230.4,203.104.164.27,52600,443,TCP,HTTPS,5445725,6072.0,11,12,3610.0,2462.0,23,No payload found for the flow
192.168.230.4-192.168.231.254-58773-53-17,2022/01/21 07:15:32,192.168.230.4,192.168.231.254,58773,53,UDP,DNS,45912,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-210.89.168.79-48726-443-6,2022/01/21 07:15:32,192.168.230.4,210.89.168.79,48726,443,TCP,HTTPS,838119,1210.0,5,6,896.0,314.0,11,No payload found for the flow
192.168.230.4-210.89.168.79-48724-443-6,2022/01/21 07:15:32,192.168.230.4,210.89.168.79,48724,443,TCP,HTTPS,118436242,2853.0,15,15,1639.0,1214.0,30,No payload found for the flow
192.168.230.4-210.89.168.79-48726-443-6,2022/01/21 07:15:33,192.168.230.4,210.89.168.79,48726,443,TCP,HTTPS,66,24.0,2,1,24.0,0.0,3,No payload found for the flow
192.168.230.4-91.189.94.4-44306-123-17,2022/01/21 07:15:33,192.168.230.4,91.189.94.4,44306,123,UDP,NTP,26949,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-210.89.168.79-48726-443-6,2022/01/21 07:15:33,210.89.168.79,192.168.230.4,443,48726,TCP,HTTPS,1783,0.0,1,1,0.0,0.0,2,No payload found for the flow
192.168.230.4-203.104.164.27-52604-443-6,2022/01/21 07:15:36,192.168.230.4,203.104.164.27,52604,443,TCP,HTTPS,167,24.0,2,1,24.0,0.0,3,No payload found for the flow
192.168.230.4-203.104.164.27-52602-443-6,2022/01/21 07:15:37,192.168.230.4,203.104.164.27,52602,443,TCP,HTTPS,61,24.0,2,1,24.0,0.0,3,No payload found for the flow
192.168.230.4-203.104.164.27-52600-443-6,2022/01/21 07:15:37,192.168.230.4,203.104.164.27,52600,443,TCP,HTTPS,53,24.0,2,1,24.0,0.0,3,No payload found for the flow
192.168.230.4-192.168.231.56-25-47380-6,2022/01/21 07:15:37,192.168.231.56,192.168.230.4,47380,25,TCP,SMTP,128788,4802.0,14,19,1726.0,3076.0,33,No payload found for the flow
192.168.230.4-192.168.231.254-64488-53-17,2022/01/21 07:15:37,192.168.230.4,192.168.231.254,64488,53,UDP,DNS,958,138.0,0,2,0.0,138.0,2,No payload found for the flow
192.168.230.4-192.168.231.56-25-47380-6,2022/01/21 07:15:38,192.168.230.4,192.168.231.56,25,47380,TCP,SMTP,285,0.0,0,2,0.0,0.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-36424-53-17,2022/01/21 07:15:42,192.168.230.4,192.168.231.254,36424,53,UDP,DNS,2507,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.206.8.36-123-123-17,2022/01/21 07:15:46,192.168.230.4,91.206.8.36,123,123,UDP,NTP,2643,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-23.47.212.207-50484-443-6,2022/01/21 07:15:50,192.168.230.4,23.47.212.207,50484,443,TCP,HTTPS,2202,46.0,0,2,0.0,46.0,2,No payload found for the flow
192.168.230.4-23.47.212.196-38678-443-6,2022/01/21 07:15:52,192.168.230.4,23.47.212.196,38678,443,TCP,HTTPS,165,77.0,3,1,77.0,0.0,4,No payload found for the flow
192.168.230.4-23.47.212.196-38676-443-6,2022/01/21 07:15:52,192.168.230.4,23.47.212.196,38676,443,TCP,HTTPS,471,77.0,3,1,77.0,0.0,4,No payload found for the flow
192.168.230.4-23.47.208.206-39082-443-6,2022/01/21 07:15:53,192.168.230.4,23.47.208.206,39082,443,TCP,HTTPS,234,77.0,3,1,77.0,0.0,4,No payload found for the flow
192.168.230.4-192.168.231.254-11100-53-17,2022/01/21 07:15:55,192.168.230.4,192.168.231.254,11100,53,UDP,DNS,2982,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:15:56,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,115182286,1728.0,12,12,864.0,864.0,24,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:16:00,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,118276098,0.0,55,1,0.0,0.0,56,No payload found for the flow
192.168.230.4-192.168.231.254-48152-53-17,2022/01/21 07:16:02,192.168.230.4,192.168.231.254,48152,53,UDP,DNS,51739,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.230.95-1194-60795-17,2022/01/21 07:16:08,192.168.230.4,192.168.230.95,1194,60795,UDP,OpenVPN,118398182,344024.0,364,303,251088.0,92936.0,667,No payload found for the flow
192.168.230.4-91.189.91.157-59284-123-17,2022/01/21 07:16:09,192.168.230.4,91.189.91.157,59284,123,UDP,NTP,93679,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-18106-53-17,2022/01/21 07:16:13,192.168.230.4,192.168.231.254,18106,53,UDP,DNS,4219,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-52792-53-17,2022/01/21 07:16:30,192.168.230.4,192.168.231.254,52792,53,UDP,DNS,3874,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-23.47.212.207-50488-443-6,2022/01/21 07:16:37,192.168.230.4,23.47.212.207,50488,443,TCP,HTTPS,952,77.0,3,1,77.0,0.0,4,No payload found for the flow
192.168.230.4-192.168.231.254-27969-53-17,2022/01/21 07:16:51,192.168.230.4,192.168.231.254,27969,53,UDP,DNS,4497,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.189.89.199-53150-123-17,2022/01/21 07:17:10,192.168.230.4,91.189.89.199,53150,123,UDP,NTP,27294,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-5714-53-17,2022/01/21 07:17:11,192.168.230.4,192.168.231.254,5714,53,UDP,DNS,3247,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.189.89.198-41697-123-17,2022/01/21 07:17:11,192.168.230.4,91.189.89.198,41697,123,UDP,NTP,25982,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-5057-53-17,2022/01/21 07:17:31,192.168.230.4,192.168.231.254,5057,53,UDP,DNS,2865,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-53043-53-17,2022/01/21 07:17:43,192.168.230.4,192.168.231.254,53043,53,UDP,DNS,3060,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.56-25-47386-6,2022/01/21 07:17:53,192.168.231.56,192.168.230.4,47386,25,TCP,SMTP,120493,4966.0,14,17,1989.0,2977.0,31,No payload found for the flow
192.168.230.4-192.168.231.56-25-47386-6,2022/01/21 07:17:53,192.168.230.4,192.168.231.56,25,47386,TCP,SMTP,668,99.0,2,4,31.0,68.0,6,No payload found for the flow
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:17:58,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,114052535,1728.0,12,12,864.0,864.0,24,No payload found for the flow
192.168.230.4-192.168.231.254-51923-53-17,2022/01/21 07:18:00,192.168.230.4,192.168.231.254,51923,53,UDP,DNS,6233,456.0,0,2,0.0,456.0,2,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:18:11,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,118097938,0.0,47,1,0.0,0.0,48,No payload found for the flow
192.168.230.4-192.168.230.95-1194-60795-17,2022/01/21 07:18:15,192.168.230.4,192.168.230.95,1194,60795,UDP,OpenVPN,118905779,126120.0,151,154,82952.0,43168.0,305,No payload found for the flow
192.168.230.4-192.168.231.254-29587-53-17,2022/01/21 07:18:20,192.168.230.4,192.168.231.254,29587,53,UDP,DNS,2560,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-203.104.163.21-46918-443-6,2022/01/21 07:18:22,203.104.163.21,192.168.230.4,443,46918,TCP,HTTPS,68,0.0,1,1,0.0,0.0,2,No payload found for the flow
192.168.230.4-211.216.46.13-46658-443-6,2022/01/21 07:18:22,192.168.230.4,211.216.46.13,46658,443,TCP,HTTPS,124,63.0,2,1,24.0,39.0,3,No payload found for the flow
192.168.230.4-203.104.163.21-46918-443-6,2022/01/21 07:18:22,192.168.230.4,203.104.163.21,46918,443,TCP,HTTPS,1308,63.0,2,1,24.0,39.0,3,No payload found for the flow
192.168.230.4-211.216.46.13-46658-443-6,2022/01/21 07:18:22,211.216.46.13,192.168.230.4,443,46658,TCP,HTTPS,158,0.0,3,1,0.0,0.0,4,No payload found for the flow
192.168.230.4-110.234.246.33-55462-443-6,2022/01/21 07:18:23,110.234.246.33,192.168.230.4,443,55462,TCP,HTTPS,337,0.0,0,3,0.0,0.0,3,No payload found for the flow
192.168.230.4-223.130.200.97-48894-443-6,2022/01/21 07:18:23,192.168.230.4,223.130.200.97,48894,443,TCP,HTTPS,168,63.0,2,1,24.0,39.0,3,No payload found for the flow
192.168.230.4-110.234.246.33-55462-443-6,2022/01/21 07:18:23,192.168.230.4,110.234.246.33,55462,443,TCP,HTTPS,927,63.0,2,1,24.0,39.0,3,No payload found for the flow
192.168.230.4-110.234.246.33-55462-443-6,2022/01/21 07:18:23,110.234.246.33,192.168.230.4,443,55462,TCP,HTTPS,71,24.0,1,1,0.0,24.0,2,No payload found for the flow
192.168.230.4-223.130.200.97-48894-443-6,2022/01/21 07:18:23,223.130.200.97,192.168.230.4,443,48894,TCP,HTTPS,55,0.0,1,1,0.0,0.0,2,No payload found for the flow
192.168.230.4-210.89.168.79-48724-443-6,2022/01/21 07:18:24,192.168.230.4,210.89.168.79,48724,443,TCP,HTTPS,837,63.0,2,1,24.0,39.0,3,No payload found for the flow
192.168.230.4-210.89.168.79-48724-443-6,2022/01/21 07:18:24,210.89.168.79,192.168.230.4,443,48724,TCP,HTTPS,88,24.0,1,1,0.0,24.0,2,No payload found for the flow
192.168.230.4-210.89.168.79-48724-443-6,2022/01/21 07:18:24,192.168.230.4,210.89.168.79,48724,443,TCP,HTTPS,4560,0.0,2,2,0.0,0.0,4,No payload found for the flow
192.168.230.4-91.189.91.157-35883-123-17,2022/01/21 07:18:39,192.168.230.4,91.189.91.157,35883,123,UDP,NTP,94527,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-62037-53-17,2022/01/21 07:18:43,192.168.230.4,192.168.231.254,62037,53,UDP,DNS,2894,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-24522-53-17,2022/01/21 07:19:03,192.168.230.4,192.168.231.254,24522,53,UDP,DNS,2962,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-27489-53-17,2022/01/21 07:19:16,192.168.230.4,192.168.231.254,27489,53,UDP,DNS,3885,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-49730-53-17,2022/01/21 07:19:38,192.168.230.4,192.168.231.254,49730,53,UDP,DNS,2550,171.0,0,2,0.0,171.0,2,No payload found for the flow
192.168.230.4-192.168.231.56-57204-25-6,2022/01/21 07:19:38,192.168.231.56,192.168.230.4,25,57204,TCP,SMTP,668,0.0,0,2,0.0,0.0,2,No payload found for the flow
192.168.230.4-192.168.231.56-57204-25-6,2022/01/21 07:19:38,192.168.230.4,192.168.231.56,57204,25,TCP,SMTP,120915,3922.0,16,18,1683.0,2239.0,34,No payload found for the flow
192.168.230.4-192.168.231.254-12527-53-17,2022/01/21 07:19:39,192.168.230.4,192.168.231.254,12527,53,UDP,DNS,3545,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-26459-53-17,2022/01/21 07:19:56,192.168.230.4,192.168.231.254,26459,53,UDP,DNS,11093,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:20:00,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,114213892,1728.0,12,12,864.0,864.0,24,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:20:15,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,113829100,0.0,49,1,0.0,0.0,50,No payload found for the flow
192.168.230.4-192.168.231.254-47328-53-17,2022/01/21 07:20:18,192.168.230.4,192.168.231.254,47328,53,UDP,DNS,4432,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.230.95-1194-60795-17,2022/01/21 07:20:24,192.168.230.4,192.168.230.95,1194,60795,UDP,OpenVPN,110901237,13504.0,27,35,6504.0,7000.0,62,No payload found for the flow
192.168.230.4-192.168.231.254-43018-53-17,2022/01/21 07:20:37,192.168.230.4,192.168.231.254,43018,53,UDP,DNS,3608,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-43852-53-17,2022/01/21 07:20:43,192.168.230.4,192.168.231.254,43852,53,UDP,DNS,7561,122.0,0,2,0.0,122.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-40997-53-17,2022/01/21 07:20:43,192.168.230.4,192.168.231.254,40997,53,UDP,DNS,7634,98.0,0,2,0.0,98.0,2,No payload found for the flow
192.168.230.4-54.171.230.55-58828-443-6,2022/01/21 07:20:43,192.168.230.4,54.171.230.55,58828,443,TCP,HTTPS,32,0.0,1,1,0.0,0.0,2,No payload found for the flow
192.168.230.4-54.171.230.55-58828-443-6,2022/01/21 07:20:43,192.168.230.4,54.171.230.55,58828,443,TCP,HTTPS,178611,3325.0,7,7,726.0,2599.0,14,No payload found for the flow
192.168.230.4-54.171.230.55-58828-443-6,2022/01/21 07:20:43,54.171.230.55,192.168.230.4,443,58828,TCP,HTTPS,36,31.0,1,1,0.0,31.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-18165-53-17,2022/01/21 07:20:50,192.168.230.4,192.168.231.254,18165,53,UDP,DNS,2968,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-7368-53-17,2022/01/21 07:21:05,192.168.230.4,192.168.231.254,7368,53,UDP,DNS,2812,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-47440-53-17,2022/01/21 07:21:21,192.168.230.4,192.168.231.254,47440,53,UDP,DNS,4387,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.189.94.4-46945-123-17,2022/01/21 07:21:21,192.168.230.4,91.189.94.4,46945,123,UDP,NTP,32277116,144.0,1,2,48.0,96.0,3,No payload found for the flow
192.168.230.4-192.168.231.254-22825-53-17,2022/01/21 07:21:39,192.168.230.4,192.168.231.254,22825,53,UDP,DNS,6191,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-62111-53-17,2022/01/21 07:21:53,192.168.230.4,192.168.231.254,62111,53,UDP,DNS,4140,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:22:02,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,114277677,1728.0,12,12,864.0,864.0,24,No payload found for the flow
192.168.230.4-192.168.231.254-34078-53-17,2022/01/21 07:22:11,192.168.230.4,192.168.231.254,34078,53,UDP,DNS,4272,456.0,0,2,0.0,456.0,2,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:22:16,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,119427041,0.0,44,1,0.0,0.0,45,No payload found for the flow
192.168.230.4-192.168.231.254-17766-53-17,2022/01/21 07:22:17,192.168.230.4,192.168.231.254,17766,53,UDP,DNS,643,143.0,0,2,0.0,143.0,2,No payload found for the flow
