LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
39,USER_ACCT,(1642997341.543:2212),"pid=27853 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
40,CRED_ACQ,(1642997341.543:2213),"pid=27853 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
41,LOGIN,(1642997341.543:2214),pid=27853 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=307 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27853', 'ses=307']"
42,USER_START,(1642997341.547:2215),"pid=27853 uid=0 auid=0 ses=307 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=0', ""ses=307 msg='op=PAM:session_open""]"
43,CRED_DISP,(1642997341.559:2216),"pid=27853 uid=0 auid=0 ses=307 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=0', ""ses=307 msg='op=PAM:setcred""]"
44,USER_END,(1642997341.559:2217),"pid=27853 uid=0 auid=0 ses=307 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=0', ""ses=307 msg='op=PAM:session_close""]"
45,SERVICE_START,(1642997353.431:2218),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
46,SERVICE_STOP,(1642997353.431:2219),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
47,USER_ACCT,(1642997821.574:2220),"pid=27933 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27933', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
48,CRED_ACQ,(1642997821.574:2221),"pid=27933 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27933', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
49,LOGIN,(1642997821.578:2222),pid=27933 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=308 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27933', 'ses=308']"
50,USER_START,(1642997821.582:2223),"pid=27933 uid=0 auid=0 ses=308 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27933', 'auid=0', ""ses=308 msg='op=PAM:session_open""]"
51,CRED_DISP,(1642997821.590:2224),"pid=27933 uid=0 auid=0 ses=308 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27933', 'auid=0', ""ses=308 msg='op=PAM:setcred""]"
52,USER_END,(1642997821.590:2225),"pid=27933 uid=0 auid=0 ses=308 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27933', 'auid=0', ""ses=308 msg='op=PAM:session_close""]"
53,USER_AUTH,(1642999060.603:2226),"pid=27950 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'",52288206,"pid=27950 uid=33 auid=4294967295 ses=4294967295 <*> acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'","[""msg='op=PAM:authentication""]"
54,USER_ACCT,(1642999060.603:2227),"pid=27950 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'",52288206,"pid=27950 uid=33 auid=4294967295 ses=4294967295 <*> acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'","[""msg='op=PAM:accounting""]"
55,CRED_ACQ,(1642999060.615:2228),"pid=27950 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'",52288206,"pid=27950 uid=33 auid=4294967295 ses=4294967295 <*> acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'","[""msg='op=PAM:setcred""]"
56,USER_START,(1642999060.627:2229),"pid=27950 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'",52288206,"pid=27950 uid=33 auid=4294967295 ses=4294967295 <*> acct=""jhall"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'","[""msg='op=PAM:session_open""]"
57,USER_CMD,(1642999086.239:2230),"pid=27966 uid=1002 auid=4294967295 ses=4294967295 msg='cwd=""/var/www/intranet.smith.russellmitchell.com/wp-content/uploads/2022/01"" cmd=636174202F6574632F736861646F77 terminal=pts/1 res=success'",08b2e0f8,"pid=27966 uid=1002 auid=4294967295 ses=4294967295 msg='cwd=""/var/www/intranet.smith.russellmitchell.com/wp-content/uploads/2022/01"" cmd=636174202F6574632F736861646F77 terminal=pts/1 res=success'",[]
58,CRED_REFR,(1642999086.239:2231),"pid=27966 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27966', ""msg='op=PAM:setcred"", 'acct=""root"" exe=""/usr/bin/sudo""', 'terminal=/dev/pts/1']"
59,USER_START,(1642999086.243:2232),"pid=27966 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27966', ""msg='op=PAM:session_open"", 'acct=""root"" exe=""/usr/bin/sudo""', 'terminal=/dev/pts/1']"
60,USER_END,(1642999086.247:2233),"pid=27966 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27966', ""msg='op=PAM:session_close"", 'acct=""root"" exe=""/usr/bin/sudo""', 'terminal=/dev/pts/1']"
61,CRED_DISP,(1642999086.247:2234),"pid=27966 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27966', ""msg='op=PAM:setcred"", 'acct=""root"" exe=""/usr/bin/sudo""', 'terminal=/dev/pts/1']"
62,USER_ACCT,(1642999141.610:2235),"pid=27969 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27969', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
63,CRED_ACQ,(1642999141.610:2236),"pid=27969 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27969', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
64,LOGIN,(1642999141.610:2237),pid=27969 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=309 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27969', 'ses=309']"
65,USER_START,(1642999141.614:2238),"pid=27969 uid=0 auid=0 ses=309 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27969', 'auid=0', ""ses=309 msg='op=PAM:session_open""]"
66,CRED_DISP,(1642999141.618:2239),"pid=27969 uid=0 auid=0 ses=309 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27969', 'auid=0', ""ses=309 msg='op=PAM:setcred""]"
67,USER_END,(1642999141.618:2240),"pid=27969 uid=0 auid=0 ses=309 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27969', 'auid=0', ""ses=309 msg='op=PAM:session_close""]"
68,SERVICE_START,(1642999152.618:2241),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
